,Name,Sector,Sharpe,Risk
AFMD,Affimed N.V.,Health Care,-0.4662124212527456,0.04370804686524903
AFSI,"AmTrust Financial Services, Inc.",Finance,-0.8198259699511011,0.03531360565063792
AGEN,Agenus Inc.,Health Care,-0.5469173592535473,0.041687055290255216
AGFS,"AgroFresh Solutions, Inc.",Finance,0.3983600359601939,0.053213739014822736
AGII,"Argo Group International Holdings, Ltd.",Finance,1.7172707968304848,0.009842875545464012
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,0.48212438252811096,0.0342880142544658
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,-0.5220747621846389,0.04071256509913035
AGNC,AGNC Investment Corp.,Consumer Services,2.0545618446875173,0.009068391059333783
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,n/a,1.2920564940431098,0.010102301898667362
AGRX,"Agile Therapeutics, Inc.",Health Care,-0.4070701706743669,0.053040991330877627
AGTC,Applied Genetic Technologies Corporation,Health Care,-0.8972602331887845,0.04523164130642349
AGYS,"Agilysys, Inc.",Technology,0.5020194558619155,0.018912442063378325
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,n/a,3.9589457064125777,0.0018281742189333943
AHGP,"Alliance Holdings GP, L.P.",Energy,0.3039608178380214,0.026765277334646714
AHPI,"Allied Healthcare Products, Inc.",Health Care,0.21431100752753743,0.05082096236541849
AIA,iShares Asia 50 ETF,n/a,2.645454182768747,0.027425963980665984
AIMC,Altra Industrial Motion Corp.,Capital Goods,1.929032141677255,0.019301274092134744
AIMT,"Aimmune Therapeutics, Inc.",Health Care,1.0891966978338052,0.02797414521970889
AINV,Apollo Investment Corporation,n/a,1.7289663261889143,0.00976810743101455
AIRG,"Airgain, Inc.",Technology,-0.23916105568584403,0.04871364264061667
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,1.264927709183973,0.06253199959625702
AIRT,"Air T, Inc.",Transportation,0.07908812540662546,0.032842198553553255
AKAM,"Akamai Technologies, Inc.",Miscellaneous,-0.27016940803570283,0.02170117786458726
AKAO,"Achaogen, Inc.",Health Care,1.4900825093105292,0.10348100914323866
AKBA,"Akebia Therapeutics, Inc.",Health Care,2.009484820166236,0.03525374784253065
AKER,Akers Biosciences Inc,Health Care,-0.6955024456871527,0.07736053895636198
AKRX,"Akorn, Inc.",Health Care,0.4053713336097585,0.027278152020674507
AKTS,"Akoustis Technologies, Inc.",Public Utilities,0.9702601018662885,0.04904007937346213
