,Sharpe,Risk
AFSI,-0.8198259699511011,0.03531360565063792
AGEN,-0.5469173592535473,0.041687055290255216
AGFS,0.3983600359601939,0.053213739014822736
AGII,1.7172707968304848,0.009842875545464012
AGIO,0.48212438252811096,0.0342880142544658
AGLE,-0.5220747621846389,0.04071256509913035
AGNC,2.0545618446875173,0.009068391059333783
AGND,1.2920564940431098,0.010102301898667362
AGRX,-0.4070701706743669,0.053040991330877627
AGTC,-0.8972602331887845,0.04523164130642349
AGYS,0.5020194558619155,0.018912442063378325
AGZD,3.9589457064125777,0.0018281742189333943
AHGP,0.3039608178380214,0.026765277334646714
AHPI,0.21431100752753743,0.05082096236541849
AIA,2.645454182768747,0.027425963980665984
AIMC,1.929032141677255,0.019301274092134744
AIMT,1.0891966978338052,0.02797414521970889
AINV,1.7289663261889143,0.00976810743101455
AIRG,-0.23916105568584403,0.04871364264061667
AIRR,1.264927709183973,0.06253199959625702
AIRT,0.07908812540662546,0.032842198553553255
AKAM,-0.27016940803570283,0.02170117786458726
AKAO,1.4900825093105292,0.10348100914323866
AKBA,2.009484820166236,0.03525374784253065
AKER,-0.6955024456871527,0.07736053895636198
AKRX,0.4053713336097585,0.027278152020674507
AKTS,0.9702601018662885,0.04904007937346213
AKTX,-0.21078077168789003,0.05254580239415874
ALBO,0.232136644942287,0.060787744502543525
ALCO,0.8502649085398666,0.0195570365776322
ALDR,-0.874609928987491,0.04509024077210274
ALDX,-0.04995406268852645,0.06798894392023445
ALGN,3.8102066653171,0.017689324451834715
ALGT,-0.26845589583305335,0.019705420234804646
ALIM,-0.23976119737656634,0.029761148812514716
ALJJ,-0.566452755686942,0.025803499897353994
ALKS,1.4907372556813874,0.025243251356179736
ALLT,-0.29002529418004824,0.016878570135616656
ALNY,0.18332311632584553,0.047684446826448346
ALOG,-0.2217044677448135,0.016929918578005243
ALOT,-0.2709009157684355,0.022789925354010806
ALQA,-0.5359439785816319,0.07683222439176303
ALRM,1.9705972321482423,0.018949857710084343
ALSK,0.9054505265867383,0.02502216685335136
ALT,0.24756684040085725,0.441820121696657
ALTY,1.6160466090626828,0.017581572059168726
ALXN,0.37531362184138356,0.02442189693365219
AMAG,-0.376023944062089,0.03783737885953804
AMAT,2.9896624225662736,0.01635868042323244
AMBA,-0.8090727495080845,0.027183699108570446
AMBC,-0.31121226814911324,0.023924394174858945
AMCN,-1.1852942641472552,0.022724331394058106
AMCX,0.4475465135051807,0.016471811410474466
AMD,1.43432492009263,0.039141764178501126
AMDA,-0.7770806804873467,0.05459001306170364
AMED,0.29247737338033625,0.02149019768703358
AMGN,0.626790094593447,0.013812765194039876
AMKR,0.19888886669730288,0.023806998556266584
AMNB,2.444468791878654,0.014520889957608259
AMOT,0.8356933927155327,0.026309600158361635
AMOV,-0.1605534412382799,0.020322666060208418
AMPH,-0.07715488301416512,0.031120201714401767
AMRB,1.1613462783868223,0.01818840837242238
AMRK,0.2673287334452007,0.02350012236465842
AMRN,2.2191979917676967,0.026030515874713795
AMRS,-0.6384726856017966,0.06597571880869957
AMSC,-0.5485656973692496,0.039891173445155546
AMSF,0.25371304121774035,0.01697150602851536
AMSWA,0.5494666957687926,0.018193199602092956
AMTD,1.6248207637092242,0.016343552836283637
AMTX,-0.7594787775507922,0.04590281889533803
AMWD,0.6829569671284436,0.01829141270112772
AMZN,0.826100815839263,0.012045836320474306
ANAT,-0.04476585881171755,0.010228632484253437
ANCB,-0.1391205879633677,0.008882147024398733
ANCX,0.9698742756238525,0.014825994975511167
ANDA,0.4623286457160114,0.008900702043027715
ANDE,-0.014999428958331989,0.018235085746991096
ANGI,0.24747348901947525,0.046536564870950155
ANGO,0.12240118860182875,0.01834467656979155
